0,34948,21350,864811,491
0,34948,21350,864811,491
1,34950,21348,865204,98
2,34851,21459,865197,93
3,34758,21488,865269,85
4,34667,21683,865183,67
5,34566,21875,865105,54
6,34457,21988,865111,44
7,34347,22234,864985,34
8,34223,22467,864879,31
9,34110,22753,864711,26
10,33987,23026,864571,16
11,34081,22980,864533,6
12,34148,22761,864683,8
13,34236,22470,864888,6
14,34309,22218,865069,4
15,34394,22002,865198,6
16,34348,21411,865840,1
17,34438,21032,866130,0
18,34471,20040,867069,20
19,34486,19542,867532,40
20,34442,18843,868199,116
21,34361,18051,868954,234
22,34416,17654,869313,217
23,34237,16396,870525,442
24,34705,19614,867267,14
25,34679,2283,884559,79
26,34687,2277,884572,64
27,34465,2168,884681,286
28,34716,2340,884512,32
29,34718,2742,884098,42
30,34692,2652,884208,48
31,34690,2672,884184,54
32,34661,2671,884192,76
33,34631,2553,884308,108
34,34596,2430,884434,140
35,34584,2188,884675,153
36,34548,1997,884870,185
37,34530,1873,884990,207
38,34293,1882,885218,207
39,34134,1886,885449,131
40,33883,1833,885713,171
41,33794,1674,886107,25
42,33586,1644,886360,10
43,33354,1608,886629,9
44,33119,1554,886925,2
45,32947,1558,887047,48
46,32765,1636,887115,84
47,32563,2454,886436,147
48,32409,2068,886965,158
49,32250,1873,887304,173
50,32090,1789,887536,185
51,31921,1913,887553,213
52,31913,1745,887702,240
53,31930,1587,887843,240
54,31930,1399,888022,249
55,31954,1243,888168,235
56,31902,1191,888196,311
57,31945,1177,888199,279
58,31942,1170,888195,293
59,31966,1137,888210,287
60,31964,1133,888200,303
61,31953,1105,888211,331
62,31889,1187,888196,328
63,31799,1213,888228,360
64,31722,1257,888245,376
65,31620,1285,888281,414
66,31545,1334,888287,434
67,31354,1370,888315,561
68,31755,12818,876959,68
69,31665,13356,876509,70
70,31558,12903,877056,83
71,31469,12025,878022,84
72,31444,11966,878074,116
73,31432,11363,878667,138
74,31437,8236,881779,148
75,31421,9138,880865,176
76,31389,7682,882310,219
77,29107,3054,886942,2497
78,30835,5776,884224,765
79,26610,2839,887170,4981
80,30754,1283,888731,832
81,30851,1238,888702,809
82,30910,1189,888674,827
83,31005,1122,888672,801
84,31130,1075,888649,746
85,31213,1036,888577,774
86,31321,1034,888476,769
87,31369,1019,888379,833
88,31458,1001,888294,847
89,31539,965,888219,877
90,31647,940,888138,875
91,31755,913,888052,880
92,31914,908,887949,829
93,32006,2628,886118,848
94,32036,3491,885144,929
95,32075,3155,885403,967
96,32117,2739,885745,999
97,32190,1574,886834,1002
98,32202,1317,887017,1064
99,32238,1229,887031,1102
100,32249,1085,887102,1164
101,32277,915,887213,1195
102,32292,845,887214,1249
103,32312,804,887181,1303
104,32306,715,887195,1384
105,32289,669,887167,1475
106,32246,631,887142,1581
107,32175,635,887142,1648
