0,33686,4581,882489,844
1,33327,4940,882554,779
2,33366,4876,882616,742
3,33398,4863,882631,708
4,33348,4825,882677,750
5,33389,4879,882628,704
6,33458,4881,882627,634
7,33473,4793,882714,620
8,33427,4886,882614,673
9,33422,4966,882532,680
10,33476,4932,882566,626
11,33462,5022,882477,639
12,33448,5058,882440,654
13,33446,5095,882402,657
14,33507,5021,882474,598
15,33506,4878,882619,597
16,33481,4916,882578,625
17,33500,4950,882544,606
18,33502,4841,882652,605
19,33503,4891,882603,603
20,33480,5037,882460,623
21,33446,5027,882466,661
22,33527,4928,882566,579
23,33570,4916,882576,538
24,33524,4913,882578,585
25,33542,4802,882690,566
26,33490,4719,882770,621
27,33470,4761,882741,628
28,33477,4687,882809,627
29,33464,4700,882795,641
30,33430,4883,882615,672
31,33392,4926,882571,711
32,33339,4872,882624,765
33,33263,4865,882632,840
34,33251,4869,882627,853
35,33247,4880,882615,858
36,33172,4875,882617,936
37,33197,4862,882632,909
38,33192,4682,882813,913
39,33181,4654,882839,926
40,33149,4641,882848,962
41,33128,4741,882752,979
42,33178,4263,883235,924
43,33051,4732,882756,1061
44,33048,4760,882731,1061
45,32956,4771,882720,1153
46,33007,4829,882662,1102
47,32906,3786,883705,1203
48,33022,4805,882685,1088
49,33011,4733,882755,1101
50,33160,4208,883281,951
51,33161,4272,883224,943
52,33158,4291,883200,951
53,33179,4110,883386,925
54,33154,4240,883251,955
55,33184,4032,883456,928
56,33183,3968,883519,930
57,33223,4100,883389,888
58,33187,4199,883285,929
59,33122,4737,882745,996
60,33273,4216,883277,834
61,33291,4102,883393,814
62,33312,4120,883371,797
63,33372,4158,883332,738
64,33360,4140,883349,751
65,33364,4135,883366,735
66,33358,4127,883371,744
67,33365,4264,883233,738
68,33376,4283,883215,726
69,33423,4627,882872,678
70,33541,4023,883472,564
71,33390,4871,882627,712
72,33523,3996,883499,582
73,33497,3995,883502,606
74,33540,4004,883487,569
75,33579,4022,883472,527
76,33516,4043,883450,591
77,33556,4038,883454,552
78,33525,3981,883514,580
79,33550,4035,883458,557
80,33539,4062,883431,568
81,33608,3993,883498,501
82,33594,4049,883417,540
83,33602,4008,883459,531
84,33626,3995,883472,507
85,33467,3956,883512,665
86,33564,3951,883511,574
87,33622,3950,883514,514
88,33625,3991,883475,509
89,33520,3958,883507,615
90,33558,3997,883469,576
91,33491,3967,883498,644
92,33517,4148,883317,618
93,33523,4177,883312,588
94,33430,4238,883365,567
95,33408,4180,883423,589
96,33350,4106,883499,645
97,33378,4105,883499,618
98,33449,4100,883507,544
99,33485,4087,883525,503
100,33483,4086,883521,510
101,33439,4096,883516,549
102,33483,4113,883501,503
103,33347,4271,883455,527
104,33313,4308,883419,560
105,33265,4389,883340,606
106,33265,4362,883366,607
107,33320,4390,883334,556
108,33305,4435,883288,572
109,33199,4997,882726,678
110,33110,5034,882721,735
111,33083,5033,882723,761
112,32945,5146,882721,788
113,32964,5115,882758,763
114,32963,4847,883024,766
115,32939,4983,882906,772
116,32977,5064,882829,730
117,32943,5091,882813,753
118,32960,5099,882815,726
119,32958,5097,882830,715
120,32922,5104,882843,731
121,32923,5094,882865,718
122,33052,5104,882833,611
123,32997,5107,882853,643
124,33092,5080,882893,535
125,33147,5098,882884,471
126,33174,5019,882976,431
127,33146,5023,882982,449
128,33121,5079,882935,465
129,33175,4997,883028,400
130,33100,5080,882956,464
131,33164,4865,883184,387
132,33130,4921,883143,406
133,33114,4926,883155,405
134,33126,4994,883096,384
135,33044,5025,883075,456
136,33060,5025,883069,446
137,33060,5078,883001,461
138,33126,5593,882475,406
139,33034,5739,882315,512
140,33100,5534,882511,455
141,33091,5318,882717,474
142,33056,5685,882339,520
143,33110,5361,882639,490
144,33131,5507,882493,469
145,33160,5701,882289,450
146,33183,5349,882631,437
147,33120,5879,882089,512
148,33161,5535,882422,482
149,33136,6022,881923,519
150,33163,4331,883606,500
151,33164,4727,883196,513
152,33185,4534,883380,501
153,33181,4776,883128,515
154,33142,4752,883140,566
155,33053,4942,882953,652
156,33058,4998,882902,642
157,32970,5209,882697,724
158,32991,5241,882667,701
159,33063,5211,882702,624
160,33106,4734,883183,577
161,33125,4669,883251,555
162,33117,4801,883126,556
163,33117,4849,883085,549
164,33116,4823,883115,546
165,33126,4800,883140,534
166,33076,4820,883126,578
167,33103,4744,883204,549
168,33078,4728,883227,567
169,33066,4661,883297,576
170,32906,5222,882751,721
171,33048,4295,883711,546
172,32960,4588,883423,629
173,32960,4651,883367,622
174,32941,4547,883474,638
175,32878,5010,883012,700
176,32887,4942,883089,682
177,32817,5075,882958,750
178,32819,5112,882927,742
179,32808,5115,882924,753
180,32883,5046,883000,671
181,32877,5126,882931,666
182,32793,5103,882973,731
183,32885,4582,883513,620
