0,13736,29126,877486,1252
1,14073,28789,878580,158
2,14297,28898,878374,31
3,14489,31463,875648,0
4,13414,19459,887568,1159
5,14577,28400,878564,59
6,14674,26236,880669,21
7,14744,30278,876578,0
8,14785,31747,875068,0
9,14817,33037,873746,0
10,14922,36443,870235,0
11,14883,36395,870322,0
12,14843,33628,873129,0
13,14803,34092,872705,0
14,14836,35624,871140,0
15,14809,33679,873112,0
16,14770,33296,873534,0
17,14814,33145,873641,0
18,14150,27839,878974,637
19,13937,27662,879177,824
20,13928,27204,879710,758
21,13829,27699,879290,782
22,13950,24071,883072,507
23,14028,27609,879416,547
24,14149,21448,885537,466
25,14510,21374,885497,219
26,14365,22101,884726,408
27,14352,22242,884546,460
28,14620,26461,880216,303
29,14091,22037,884597,875
30,14442,25359,881240,559
31,14738,20693,885802,367
32,15153,26241,880206,0
33,15180,25151,881269,0
34,14629,24854,881462,655
35,15084,25745,880534,237
36,15163,24516,881571,350
37,15365,24554,881352,329
38,15558,24697,880973,372
39,15508,23682,881777,633
40,16369,29700,875531,0
41,16597,25905,879098,0
42,16703,29226,875671,0
43,16035,23872,881096,597
44,16570,29244,875786,0
45,16183,26525,878488,404
46,16140,24384,880668,408
47,16528,27272,877800,0
48,16259,23108,881981,252
49,16374,23165,881875,186
50,16566,27230,877804,0
51,16679,23217,881639,65
52,16706,21790,882858,246
53,16539,22366,882404,291
54,16411,22146,882656,387
55,15971,21328,883554,747
56,15824,21430,883516,830
57,15710,19736,885292,862
58,15676,22283,882827,814
59,15694,21657,883531,718
60,15772,22106,883167,555
61,15300,22037,883625,638
62,15365,21945,883869,421
63,15706,28849,877045,0
64,15288,22295,883749,268
65,15150,22198,883904,348
66,15307,22289,883752,252
67,15254,13054,892809,483
68,15669,15410,890290,231
69,15926,13760,891766,148
70,14924,21416,883933,1327
71,15985,12954,892327,334
72,16304,12581,892524,191
73,16060,13337,892042,161
74,16497,20681,884422,0
75,16915,16742,887943,0
76,16639,13941,890934,86
77,16483,13811,891275,31
78,16325,14458,890713,104
79,16060,18502,886859,179
80,1715,11757,893795,14333
81,14689,20644,885063,1204
82,1389,10783,895084,14344
83,14356,18175,887961,1108
84,14937,18433,887866,364
85,11024,18963,887493,4120
86,14375,14570,892148,507
87,14694,12106,894534,266
88,14121,16431,890224,824
89,14249,10733,895934,684
90,14490,10479,896137,494
91,14590,10792,895852,366
92,14696,11169,895516,219
93,9,171,906651,14769
94,14568,22247,884592,193
95,5613,16104,890883,9000
96,5110,15928,891091,9471
97,4499,16008,891102,9991
98,4985,15970,890648,9997
99,14336,21869,884799,596
100,14399,22214,884540,447
101,14980,22308,884294,18
102,14489,22336,884210,565
103,15117,23175,883271,37
104,12645,8204,898206,2545
105,15080,22853,883446,221
106,14456,23159,883131,854
107,13569,8115,898080,1836
108,15415,23787,882342,56
109,15118,25171,880867,444
110,15001,8578,897413,608
111,14818,8452,897507,823
112,15301,20021,885917,361
113,15404,20388,885565,243
114,15459,20098,885831,212
115,15435,9049,896844,272
116,15404,21156,884713,327
117,2306,14755,891141,13398
118,15319,21679,884266,336
119,15075,9889,896031,605
120,15312,20618,885332,338
121,14776,21554,884422,848
122,14885,20859,885123,733
123,14635,20604,885434,927
124,15029,20083,885924,564
125,14974,19952,886080,594
126,15122,19105,886939,434
127,14990,20633,885433,544
128,15004,19955,886092,549
129,15032,18778,887313,477
130,15131,17606,888515,348
131,15149,18723,887276,452
132,14970,18179,887738,713
133,15024,16790,889028,758
134,15090,17258,888439,813
135,15081,16880,888720,919
136,14700,14923,890695,1282
137,14861,15581,890072,1086
138,14877,16512,889167,1044
139,14765,17415,888287,1133
140,14837,19594,886132,1037
141,14835,21235,884512,1018
142,14994,21942,883841,823
143,15100,19139,886622,739
144,15059,19965,885817,759
145,15093,19267,886534,706
146,15044,19118,886712,726
147,14974,18721,887130,775
148,15020,20504,885368,708
149,14961,20674,885223,742
150,14987,22100,883819,694
151,14977,20984,884915,724
152,14925,19526,886412,737
153,14858,18814,887153,775
154,14780,19046,886939,835
155,14676,16374,889659,891
156,14614,15205,890870,911
157,14405,13763,892365,1067
158,14374,13899,892280,1047
159,14253,16258,889981,1108
160,14205,17450,888839,1106
161,14219,17375,888967,1039
162,14229,18987,887357,1027
163,14117,21051,885341,1091
164,14302,20448,886042,808
165,15065,24003,882532,0
166,15018,24137,882445,0
167,14161,20725,885909,805
168,13942,8108,898623,927
169,13513,7748,899034,1305
170,13997,8392,898432,779
171,13760,8063,898861,916
172,13933,8182,898752,733
173,110,11604,895344,14542
174,18,78,906882,14622
175,18,82,906893,14607
176,12,95,906882,14611
177,12,102,906894,14592
178,13617,8158,898853,972
179,13942,8145,898880,633
180,14,167,906796,14623
181,40,176,906794,14590
182,3,4155,902748,14694
183,24,1262,905701,14613
184,0,1788,905098,14714
185,30,1614,905278,14678
186,0,840,905965,14795
187,0,363,906463,14774
188,0,129,906685,14786
189,0,121,906626,14853
190,14,103,906578,14905
191,44,68,906603,14885
192,2,113,906483,15002
193,2,127,906458,15013
194,0,115,906296,15189
195,28,67,906316,15189
196,28,65,906247,15260
197,0,15713,890606,15281
198,0,126,906177,15297
199,20,80,906056,15444
200,62,16171,889953,15414
201,190,1746,904320,15344
202,1864,2851,903214,13671
203,5,679,905314,15602
204,784,3526,902469,14821
205,0,978,905020,15602
206,0,799,905201,15600
207,346,5015,900912,15327
208,144,172,905753,15531
209,32,67,905856,15645
210,1231,19468,886453,14448
