0,42396,3765,872190,3249
1,45240,582,875614,164
2,45309,575,875588,128
3,45416,626,875515,43
4,45465,706,875409,20
5,45501,695,875389,15
6,45536,754,875305,5
7,45567,869,875163,1
8,45598,911,875091,0
9,45622,1070,874908,0
10,45650,1332,874618,0
11,45678,1418,874504,0
12,45710,1488,874402,0
13,45736,1483,874381,0
14,45763,1571,874266,0
15,45785,1633,874182,0
16,45804,1417,874363,16
17,45741,1401,874351,107
18,45849,1503,874222,26
19,45829,1591,874105,75
20,45890,1792,873878,40
21,45933,1605,874037,25
22,45980,1901,873719,0
23,46011,1915,873674,0
24,46037,2077,873486,0
25,46061,2044,873495,0
26,46091,1980,873529,0
27,46122,1954,873524,0
28,46108,1804,873646,42
29,46117,1749,873675,59
30,46160,1696,873700,44
31,46168,1527,873839,66
32,46223,1522,873816,39
33,46256,1413,873900,31
34,46285,1381,873905,29
35,46311,1305,873952,32
36,46329,1297,873932,42
37,46360,1288,873918,34
38,46389,1307,873866,38
39,46406,1332,873818,44
40,46432,1326,873793,49
41,46369,1410,873781,40
42,46308,1490,873770,32
43,46240,1615,873712,33
44,46168,1614,873781,37
45,46098,1669,873795,38
46,46029,1681,873853,37
47,45958,1786,873817,39
48,45886,1835,873839,40
49,45811,1835,873908,46
50,45732,1835,873979,54
51,45652,1786,874100,62
52,45567,1660,874296,77
53,45501,1606,874420,73
54,45395,1479,874622,104
55,45329,1489,874679,103
56,45235,1361,874884,120
57,45133,1204,875118,145
58,45036,1022,875375,167
59,44926,962,875512,200
60,44833,1002,875567,198
61,44757,971,875660,212
62,44668,922,875787,223
63,44606,926,875864,204
64,44516,902,875971,211
65,44440,894,876057,209
66,44399,952,876076,173
67,44341,952,876158,149
68,44279,971,876222,128
69,44257,1017,876243,83
70,44225,1072,876246,57
71,44199,1132,876246,23
72,44153,1191,876239,17
73,44085,1177,876321,17
74,44020,1193,876361,26
75,43960,1035,876580,25
76,43884,1103,876575,38
77,43813,985,876753,49
78,43743,1078,876722,57
79,43684,960,876897,59
80,43601,964,876955,80
81,43548,1013,876965,74
82,43496,950,877086,68
83,43436,919,877182,63
84,43387,962,877198,53
85,43322,871,877344,63
86,43243,836,877423,98
87,43158,740,877580,122
88,43016,711,877674,199
89,42897,655,877795,253
90,42752,575,877937,336
91,42621,567,878005,407
92,42476,540,877980,604
93,42289,461,877997,853
94,42220,443,877959,978
95,42190,463,877887,1060
96,42186,464,877825,1125
97,42192,492,877745,1171
98,42200,459,877701,1240
99,42229,441,877668,1262
100,42230,428,877628,1314
101,42299,427,877575,1299
102,42466,431,877517,1186
103,42611,440,877461,1088
104,42497,427,877411,1265
105,42708,432,877352,1108
106,42745,430,877297,1128
107,42884,429,877241,1046
108,43066,447,877167,920
109,43190,439,877118,853
110,43340,451,877031,778
111,43472,450,876982,696
